"unitPrice","retailPrice","term","skuId","armSkuName","productName","skuName"
"0.095726","0.095726","1 Year","DZH318Z0CF0K/004H","Standard_DC1s_v2","Virtual Machines DCSv2 Series","DC1s v2"
"0.707","0.707","3 Years","DZH318Z09B5Z/0031","Standard_DC16ads_v5","DCadsv5-series Linux","Standard_DC16ads_v5"
"0.9003","0.9003","1 Year","DZH318Z09B5Z/0031","Standard_DC16ads_v5","DCadsv5-series Linux","Standard_DC16ads_v5"
"2.878272","2.878272","3 Years","DZH318Z0CSHL/0432","Standard_E80is_v4","Virtual Machines Esv4 Series","E80is v4"
"4.111296","4.111296","1 Year","DZH318Z0CSHL/0432","Standard_E80is_v4","Virtual Machines Esv4 Series","E80is v4"
"4.23488","4.23488","3 Years","DZH318Z08NR7/004L","Standard_L80s_v3","Virtual Machines Lsv3 Series","Standard_L80s_v3"
"6.049472","6.049472","1 Year","DZH318Z08NR7/004L","Standard_L80s_v3","Virtual Machines Lsv3 Series","Standard_L80s_v3"
"0.0736008","0.0736008","3 Years","DZH318Z09B6C/0040","Standard_DC2as_v5","DCasv5-series Linux","Standard_DC2as_v5"
"0.0940888","0.0940888","1 Year","DZH318Z09B6C/0040","Standard_DC2as_v5","DCasv5-series Linux","Standard_DC2as_v5"
"3.0755584","3.0755584","3 Years","DZH318Z08NRF/001S","Standard_DC32ds_v3","DCdsv3 Series Linux","standard_DC32ds_v3"
"3.8484736","3.8484736","1 Year","DZH318Z08NRF/001S","Standard_DC32ds_v3","DCdsv3 Series Linux","standard_DC32ds_v3"
"1.6336831","1.6336831","3 Years","DZH318Z0BQ4W/00DL","Standard_M32s","Virtual Machines MS Series","M32s"
"3.2211431","3.2211431","1 Year","DZH318Z0BQ4W/00DL","Standard_M32s","Virtual Machines MS Series","M32s"
"2.7301248","2.7301248","3 Years","DZH318Z08W0T/0009","Standard_D96as_v5","Virtual Machines Dasv5 Series","Standard_D96as_v5"
"3.8158848","3.8158848","1 Year","DZH318Z08W0T/0009","Standard_D96as_v5","Virtual Machines Dasv5 Series","Standard_D96as_v5"
"3.6259104","3.6259104","3 Years","DZH318Z093X0/014H","Standard_E96-48ads_v5","Virtual Machines Eadsv5 Series","E96-48ads v5"
"5.17608","5.17608","1 Year","DZH318Z093X0/014H","Standard_E96-48ads_v5","Virtual Machines Eadsv5 Series","E96-48ads v5"
"3.0105396","3.0105396","3 Years","DZH318Z08LV1/00G1","Standard_M32dms_v2","Virtual Machines MdSv2 Series","M32dms_v2"
