"skuId","retailPrice","productName","armSkuName","skuName"
"DZH318Z092SC/0068","3.216","Virtual Machines Dpdsv5 Series Windows","Standard_D32pds_v5","Standard_D32pds_v5"
"DZH318Z0BDLC/004R","0.11","Virtual Machines ECasccv5 Series","Standard_EC8as_cc_v5","Standard_EC8as_cc_v5 Low Priority"
"DZH318Z093X0/0166","0.5056","Virtual Machines Eadsv5 Series","Standard_E64ads_v5","E64ads v5 Spot"
"DZH318Z0BPVW/00LG","0.062265","Virtual Machines D Series Windows","Standard_D3","D3 Spot"
"DZH318Z0BP44/002G","2.669","Virtual Machines LSv2 Series Windows","Standard_L48s_v2","L48s v2 Low Priority"
"DZH318Z096SR/0342","1.739","Virtual Machines Esv5 Series","Standard_E104is_v5","E104is v5 Low Priority"
"DZH318Z0K1LG/004W","19.328","Virtual Machines HXrs Windows","Standard_HX176-144rs","HX176-144rs"
"DZH318Z0BQM2/001Z","3.058","Virtual Machines NCSv3 Series","Standard_NC24s_v3","NC24s v3 Low Priority"
"DZH318Z0CP07/0063","0.207","Virtual Machines Dsv4 Series Windows","Standard_D2s_v4","D2s v4"
"DZH318Z0BPVT/00ST","0.08631","Virtual Machines F Series Windows","Standard_F8","F8 Spot"
"DZH318Z09B68/0016","0.058348","ECasv5-series Linux","Standard_EC2as_v5","Standard_EC2as_v5 Spot"
"DZH318Z08M9J/00K8","2.432","Virtual Machines Ev5 Series","Standard_E32_v5","Standard_E32_v5"
"DZH318Z0CM2C/004C","0.184","Virtual Machines Dasv4 Series","Standard_D32as_v4","D32as v4 Spot"
"DZH318Z093X0/015P","0.8342","Virtual Machines Eadsv5 Series","Standard_E96iads_v5","E96iads v5 Spot"
"DZH318Z0D1L5/019N","0.034704","Virtual Machines Edv4 Series","Standard_E4d_v4","E4d v4 Spot"
"DZH318Z09TH1/001X","5.879","NCads A100 v4 Series Windows","Standard_NC24ads_A100_v4","Standard_NC24ads_A100_v4"
"DZH318Z08M9W/008X","0.736","Virtual Machines Dsv5 Series","Standard_D64s_v5","Standard_D64s_v5 Low Priority"
"DZH318Z0BXNS/0007","0.257","Virtual Machines DCS Series","Standard_DC2s","DC2s"
"DZH318Z0CM94/0014","6.624","Virtual Machines Dav4 Series Windows","Standard_D64a_v4","D64a v4"
"DZH318Z0CM93/0016","6.624","Virtual Machines Dasv4 Series Windows","Standard_D64as_v4","D64as v4"
"DZH318Z0CSHH/0051","2.189","Virtual Machines Ddsv4 Series Windows","Standard_D48ds_v4","D48ds v4 Low Priority"
"DZH318Z08Q74/003G","2.282","Virtual Machines FX Series Windows","Standard_FX36mds","Standard_FX36mds Low Priority"
"DZH318Z0CSHM/0033","0.218253","Virtual Machines Ddsv4 Series","Standard_D32ds_v4","D32ds v4 Spot"
"DZH318Z0CM92/017G","3.904","Virtual Machines Easv4 Series Windows","Standard_E32-8as_v4","E32-8as_v4"
"DZH318Z09LR4/006X","1.728","Virtual Machines Ebsv5 Series Windows","Standard_E32bs_v5","Standard_E32bs_v5 Low Priority"
"DZH318Z0CGR8/00FL","0.693576","Virtual Machines HBSv2 Series","Standard_HB120-32rs_v2","Standard_HB120-32rs_v2 Spot"
"DZH318Z092SC/006W","0.402","Virtual Machines Dpdsv5 Series Windows","Standard_D4pds_v5","Standard_D4pds_v5"
"DZH318Z0D1L6/00MZ","0.091291","Virtual Machines Ddv4 Series Windows","Standard_D8d_v4","D8d v4 Spot"
"DZH318Z0CSHH/002H","2.918","Virtual Machines Ddsv4 Series Windows","Standard_D64ds_v4","D64ds v4 Low Priority"
"DZH318Z092QL/006J","0.0178","Virtual Machines Dpldsv5 Series","Standard_D2plds_v5","Standard_D2plds_v5 Low Priority"
"DZH318Z09JCM/00JL","2.908","Virtual Machines NVadsA10v5 Series Windows","Standard_NV18ads_A10_v5","Standard_NV18ads_A10_v5"
"DZH318Z0CXSZ/0002","7.993","Easv4 Series Dedicated Host","Easv4_Type1","Easv4 Type1"
"DZH318Z093WZ/0135","0.0548","Virtual Machines Easv5 Series","Standard_E8as_v5","E8as v5 Spot"
"DZH318Z0K1LH/003K","6.9824","Virtual Machines HBrsv4 series Windows","Standard_HB176-24rs_v4","HB176-24rsv4 Spot"
"DZH318Z093XK/015G","3.664","Virtual Machines Easv5 Series Windows","Standard_E32-16as_v5","E32-16as v5"
"DZH318Z08M9J/00JC","0.031707","Virtual Machines Ev5 Series","Standard_E4_v5","Standard_E4_v5 Spot"
"DZH318Z0BDLC/0036","0.438","Virtual Machines ECasccv5 Series","Standard_EC32as_cc_v5","Standard_EC32as_cc_v5 Low Priority"
"DZH318Z0BQ4Z/009B","0.532188","Virtual Machines NC Series","Standard_NC24r","NC24r Spot"
"DZH318Z09B66/002H","4.66","ECasv5-series Windows","Standard_EC96ias_v5","Standard_EC96ias_v5 Low Priority"
"DZH318Z08NQZ/0026","2.061","DCsv3 Series Windows","Standard_DC32s_v3","standard_DC32s_v3 Low Priority"
"DZH318Z0CSHB/00B1","1.696","Virtual Machines Edsv4 Series Windows","Standard_E32-8ds_v4","E32-8ds v4 Low Priority"
"DZH318Z08LV1/00JW","9.337","Virtual Machines MdSv2 Series","Standard_M64ds_v2","M64ds_v2"
"DZH318Z0BPRT/009T","1.08","Virtual Machines A Series","Standard_A7","A7"
"DZH318Z0BDL6/0005","0.998","Virtual Machines DCasccv5 Series","Standard_DC96as_cc_v5","Standard_DC96as_cc_v5 Low Priority"
"DZH318Z0D1L2/006B","0.272","Virtual Machines Ddv4 Series","Standard_D4d_v4","D4d v4"
"DZH318Z0BQNL/004T","0.308","Virtual Machines G Series Windows","Standard_G1","G1 Low Priority"
"DZH318Z0BQPT/005K","0.308","Virtual Machines GS Series Windows","Standard_GS1","GS1 Low Priority"
"DZH318Z092SG/00N0","1.472","Virtual Machines Epdsv5 Series Windows","Standard_E32pds_v5","Standard_E32pds_v5 Low Priority"
